AGLIE';PRODI ROMANO;L'ULIVO;482;;
AGLIE';;RIFONDAZIONE COMUNISTA;73;;
AGLIE';;LA ROSA NEL PUGNO;51;;
AGLIE';;COMUNISTI ITALIANI;48;;
AGLIE';;PARTITO PENSIONATI;38;;
AGLIE';;FED.DEI VERDI;32;;
AGLIE';;DI PIETRO ITALIA DEI VALORI;29;;
AGLIE';;U.D.EUR POPOLARI;16;;
AGLIE';;I SOCIALISTI ;3;;
AGLIE';BERLUSCONI SILVIO;FORZA ITALIA;371;;
AGLIE';;ALLEANZA NAZIONALE;232;;
AGLIE';;UNIONE DI CENTRO;169;;
AGLIE';;LEGA NORD;126;;
AGLIE';;FIAMMA TRICOLORE;16;;
AGLIE';;ALTERNATIVA SOCIALE MUSSOLINI;9;;
AGLIE';;DEM.CRIST.-NUOVO PSI;8;;
AGLIE';;AMBIENTA-LISTA;7;;
AGLIE';;NO EURO;5;;
AIRASCA;PRODI ROMANO;L'ULIVO;843;;
AIRASCA;;RIFONDAZIONE COMUNISTA;160;;
AIRASCA;;COMUNISTI ITALIANI;82;;
AIRASCA;;DI PIETRO ITALIA DEI VALORI;80;;
AIRASCA;;FED.DEI VERDI;63;;
AIRASCA;;LA ROSA NEL PUGNO;48;;
AIRASCA;;PARTITO PENSIONATI;25;;
AIRASCA;;U.D.EUR POPOLARI;10;;
AIRASCA;;I SOCIALISTI ;3;;
AIRASCA;BERLUSCONI SILVIO;FORZA ITALIA;473;;
AIRASCA;;ALLEANZA NAZIONALE;274;;
AIRASCA;;UNIONE DI CENTRO;146;;
AIRASCA;;LEGA NORD;79;;
AIRASCA;;FIAMMA TRICOLORE;18;;
AIRASCA;;ALTERNATIVA SOCIALE MUSSOLINI;14;;
AIRASCA;;NO EURO;13;;
AIRASCA;;DEM.CRIST.-NUOVO PSI;12;;
AIRASCA;;AMBIENTA-LISTA;8;;
ALA DI STURA;PRODI ROMANO;L'ULIVO;58;;
ALA DI STURA;;RIFONDAZIONE COMUNISTA;11;;
ALA DI STURA;;LA ROSA NEL PUGNO;5;;
ALA DI STURA;;DI PIETRO ITALIA DEI VALORI;4;;
ALA DI STURA;;U.D.EUR POPOLARI;3;;
ALA DI STURA;;COMUNISTI ITALIANI;3;;
ALA DI STURA;;I SOCIALISTI ;2;;
ALA DI STURA;;FED.DEI VERDI;2;;
ALA DI STURA;;PARTITO PENSIONATI;2;;
ALA DI STURA;BERLUSCONI SILVIO;UNIONE DI CENTRO;100;;
ALA DI STURA;;FORZA ITALIA;47;;
ALA DI STURA;;ALLEANZA NAZIONALE;25;;
ALA DI STURA;;LEGA NORD;24;;
ALA DI STURA;;DEM.CRIST.-NUOVO PSI;3;;
ALA DI STURA;;AMBIENTA-LISTA;3;;
ALA DI STURA;;FIAMMA TRICOLORE;2;;
ALA DI STURA;;ALTERNATIVA SOCIALE MUSSOLINI;2;;
ALA DI STURA;;NO EURO;0;;
ALBIANO D'IVREA;PRODI ROMANO;L'ULIVO;318;;
ALBIANO D'IVREA;;RIFONDAZIONE COMUNISTA;58;;
ALBIANO D'IVREA;;LA ROSA NEL PUGNO;33;;
ALBIANO D'IVREA;;COMUNISTI ITALIANI;27;;
ALBIANO D'IVREA;;PARTITO PENSIONATI;22;;
ALBIANO D'IVREA;;DI PIETRO ITALIA DEI VALORI;20;;
ALBIANO D'IVREA;;FED.DEI VERDI;16;;
ALBIANO D'IVREA;;I SOCIALISTI ;5;;
ALBIANO D'IVREA;;U.D.EUR POPOLARI;4;;
ALBIANO D'IVREA;BERLUSCONI SILVIO;FORZA ITALIA;305;;
ALBIANO D'IVREA;;ALLEANZA NAZIONALE;165;;
ALBIANO D'IVREA;;UNIONE DI CENTRO;88;;
ALBIANO D'IVREA;;LEGA NORD;78;;
ALBIANO D'IVREA;;FIAMMA TRICOLORE;14;;
ALBIANO D'IVREA;;ALTERNATIVA SOCIALE MUSSOLINI;7;;
ALBIANO D'IVREA;;NO EURO;5;;
ALBIANO D'IVREA;;DEM.CRIST.-NUOVO PSI;4;;
ALBIANO D'IVREA;;AMBIENTA-LISTA;2;;
ALICE SUPERIORE;PRODI ROMANO;L'ULIVO;164;;
ALICE SUPERIORE;;RIFONDAZIONE COMUNISTA;24;;
ALICE SUPERIORE;;COMUNISTI ITALIANI;16;;
ALICE SUPERIORE;;LA ROSA NEL PUGNO;15;;
ALICE SUPERIORE;;FED.DEI VERDI;9;;
ALICE SUPERIORE;;DI PIETRO ITALIA DEI VALORI;8;;
ALICE SUPERIORE;;PARTITO PENSIONATI;5;;
ALICE SUPERIORE;;I SOCIALISTI ;1;;
ALICE SUPERIORE;;U.D.EUR POPOLARI;1;;
