AGLIE';PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;368;;
AGLIE';;SINISTRA ECOLOGIA LIBERTA';38;;
AGLIE';;CENTRO DEMOCRATICO;0;;
AGLIE';SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';350;;
AGLIE';;LEGA NORD;79;;
AGLIE';;FRATELLI D'ITALIA;34;;
AGLIE';;PARTITO PENSIONATI;17;;
AGLIE';;LA DESTRA;4;;
AGLIE';;MIR - MODERATI IN RIVOLUZIONE;1;;
AGLIE';GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;377;;
AGLIE';MARIO MONTI ;SCELTA CIVICA CON MONTI PER L'ITALIA;139;;
AGLIE';;UNIONE DI CENTRO;25;;
AGLIE';;FUTURO E LIBERTA';8;;
AGLIE';ANTONIO INGROIA ;RIVOLUZIONE CIVILE;23;;
AGLIE';OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;16;;
AGLIE';ROBERTO FIORE ;FORZA NUOVA;4;;
AGLIE';SIMONE DI STEFANO ;CASAPOUND ITALIA;5;;
AGLIE';LUCA ROMAGNOLI ;FIAMMA TRICOLORE;0;;
AIRASCA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;519;;
AIRASCA;;SINISTRA ECOLOGIA LIBERTA';80;;
AIRASCA;;CENTRO DEMOCRATICO;8;;
AIRASCA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';389;;
AIRASCA;;FRATELLI D'ITALIA;40;;
AIRASCA;;LEGA NORD;40;;
AIRASCA;;PARTITO PENSIONATI;14;;
AIRASCA;;LA DESTRA;4;;
AIRASCA;;MIR - MODERATI IN RIVOLUZIONE;2;;
AIRASCA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;821;;
AIRASCA;MARIO MONTI ;SCELTA CIVICA CON MONTI PER L'ITALIA;195;;
AIRASCA;;UNIONE DI CENTRO;57;;
AIRASCA;;FUTURO E LIBERTA';9;;
AIRASCA;ANTONIO INGROIA ;RIVOLUZIONE CIVILE;53;;
AIRASCA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;7;;
AIRASCA;ROBERTO FIORE ;FORZA NUOVA;9;;
AIRASCA;SIMONE DI STEFANO ;CASAPOUND ITALIA;2;;
AIRASCA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;5;;
ALA DI STURA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;42;;
ALA DI STURA;;SINISTRA ECOLOGIA LIBERTA';10;;
ALA DI STURA;;CENTRO DEMOCRATICO;0;;
ALA DI STURA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';41;;
ALA DI STURA;;LEGA NORD;15;;
ALA DI STURA;;FRATELLI D'ITALIA;14;;
ALA DI STURA;;PARTITO PENSIONATI;2;;
ALA DI STURA;;LA DESTRA;0;;
ALA DI STURA;;MIR - MODERATI IN RIVOLUZIONE;0;;
ALA DI STURA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;54;;
