AGLIE' ;2156;1773;17;58;
AIRASCA ;2874;2462;30;111;
ALA DI STURA ;387;311;6;15;
ALBIANO D'IVREA ;1413;1219;15;48;
ALICE SUPERIORE ;556;452;5;21;
ALMESE ;4900;4237;38;159;
ALPETTE ;239;195;7;11;
ALPIGNANO ;14218;12268;87;331;
ANDEZENO ;1500;1332;13;42;
ANDRATE ;418;328;8;20;
ANGROGNA ;710;528;11;35;
ARIGNANO ;785;706;5;20;
AVIGLIANA ;9659;8190;52;225;
AZEGLIO ;1061;881;14;35;
BAIRO ;678;538;7;20;
BALANGERO ;2558;2178;31;89;
BALDISSERO CANAVESE ;437;394;5;16;
BALDISSERO TORINESE ;2837;2490;19;49;
BALME ;86;74;1;3;
BANCHETTE ;2769;2345;18;64;
BARBANIA ;1294;1057;19;46;
BARDONECCHIA ;2497;2089;18;43;
BARONE CANAVESE ;515;427;4;13;
BEINASCO ;15148;13272;87;388;
BIBIANA ;2458;2053;44;105;
BOBBIO PELLICE ;502;398;1;18;
BOLLENGO ;1715;1462;23;76;
BORGARO TORINESE ;10853;9541;61;237;
BORGIALLO ;433;381;12;16;
BORGOFRANCO D'IVREA ;3019;2536;22;87;
BORGOMASINO ;691;557;10;18;
BORGONE SUSA ;1929;1569;16;75;
BOSCONERO ;2458;2074;26;85;
BRANDIZZO ;6471;5586;45;176;
BRICHERASIO ;3431;2906;48;132;
BROSSO ;400;319;6;16;
BROZOLO ;389;336;4;12;
BRUINO ;6480;5845;28;116;
BRUSASCO ;1330;1092;14;35;
BRUZOLO ;1144;986;8;33;
BURIASCO ;1108;962;13;39;
BUROLO ;1123;951;7;24;
BUSANO ;1157;965;10;37;
BUSSOLENO ;5259;4285;42;157;
BUTTIGLIERA ALTA ;5371;4745;30;109;
CAFASSE ;3009;2532;23;98;
CALUSO ;6072;5166;47;157;
CAMBIANO ;4998;4440;37;134;
CAMPIGLIONE-FENILE ;1092;971;12;35;
CANDIA CANAVESE ;1082;900;12;32;
CANDIOLO ;4399;3962;30;105;
CANISCHIO ;242;208;5;9;
CANTALUPA ;1927;1692;29;70;
CANTOIRA ;471;368;6;22;
CAPRIE ;1644;1399;18;61;
CARAVINO ;850;734;9;29;
CAREMA ;620;452;9;22;
CARIGNANO ;7284;6197;79;244;
CARMAGNOLA ;20615;17486;166;610;
CASALBORGONE ;1480;1195;25;54;
CASCINETTE D'IVREA ;1215;1038;6;26;
CASELETTE ;2231;1991;17;59;
CASELLE TORINESE ;13718;11645;82;338;
CASTAGNETO PO ;1279;1092;5;18;
CASTAGNOLE PIEMONTE ;1572;1353;27;76;
CASTELLAMONTE ;7592;6261;77;250;
CASTELNUOVO NIGRA ;385;327;4;17;
CASTIGLIONE TORINESE ;4812;4258;23;96;
CAVAGNOLO ;1915;1615;21;61;
CAVOUR ;4486;3728;60;144;
CERCENASCO ;1513;1286;24;74;
CERES ;876;725;7;23;
CERESOLE REALE ;140;123;1;4;
CESANA TORINESE ;834;725;6;20;
CHIALAMBERTO ;312;253;4;6;
CHIANOCCO ;1376;1211;10;53;
CHIAVERANO ;1830;1556;17;54;
CHIERI ;27499;23550;187;594;
CHIESANUOVA ;179;138;3;6;
CHIOMONTE ;843;709;4;15;
CHIUSA DI SAN MICHELE ;1285;1107;16;43;
CHIVASSO ;19681;16618;166;526;
CICONIO ;295;257;3;14;
CINTANO ;217;172;4;4;
CINZANO ;310;260;2;5;
CIRIE' ;15190;12863;121;419;
CLAVIERE ;135;115;3;3;
COASSOLO TORINESE ;1230;1027;12;32;
COAZZE ;2510;2091;22;91;
COLLEGNO ;40723;35538;183;798;
COLLERETTO CASTELNUOVO ;277;227;1;9;
COLLERETTO GIACOSA ;509;452;1;15;
CONDOVE ;3775;3187;28;89;
CORIO ;2682;2132;21;92;
COSSANO CANAVESE ;453;387;11;28;
CUCEGLIO ;807;658;10;29;
CUMIANA ;6199;5297;42;172;
CUORGNE' ;8071;6880;75;240;
DRUENTO ;6708;5868;39;149;
EXILLES ;239;182;2;10;
FAVRIA ;3829;3103;34;120;
FELETTO ;1899;1523;25;79;
FENESTRELLE ;509;426;5;22;
FIANO ;2223;1960;21;55;
FIORANO CANAVESE ;724;627;9;23;
FOGLIZZO ;1812;1472;25;50;
FORNO CANAVESE ;3033;2333;42;95;
FRASSINETTO ;244;187;10;13;
FRONT ;1370;1127;21;50;
FROSSASCO ;2341;1978;27;67;
GARZIGLIANA ;436;388;5;14;
GASSINO TORINESE ;7691;6678;39;116;
GERMAGNANO ;1069;907;10;43;
GIAGLIONE ;554;470;11;27;
GIAVENO ;12499;10609;86;301;
GIVOLETTO ;2129;1909;22;48;
GRAVERE ;611;523;4;12;
GROSCAVALLO ;198;162;3;5;
GROSSO ;811;699;9;25;
GRUGLIASCO ;31655;27578;138;610;
INGRIA ;47;37;1;1;
INVERSO PINASCA ;603;503;7;19;
ISOLABELLA ;316;290;5;12;
ISSIGLIO ;360;279;2;21;
IVREA ;19980;16950;130;395;
LA CASSA ;1245;1132;4;31;
LA LOGGIA ;5797;5152;43;150;
LANZO TORINESE ;4285;3638;22;108;
LAURIANO ;1237;1040;14;42;
LEINI ;10443;9120;64;256;
LEMIE ;191;142;2;11;
LESSOLO ;1645;1388;21;56;
LEVONE ;396;338;3;11;
LOCANA ;1488;1208;30;71;
LOMBARDORE ;1292;1127;11;31;
LOMBRIASCO ;864;749;10;35;
LORANZE' ;873;749;3;15;
LUGNACCO ;324;278;3;10;
LUSERNA SAN GIOVANNI ;6384;5131;63;209;
LUSERNETTA ;431;359;11;27;
LUSIGLIE' ;444;376;7;19;
MACELLO ;940;815;16;36;
MAGLIONE ;409;347;6;14;
MARENTINO ;1059;933;12;25;
MASSELLO ;64;55;0;2;
MATHI ;3314;2777;34;102;
MATTIE ;622;486;8;25;
MAZZE' ;3361;2870;41;111;
MEANA DI SUSA ;782;634;6;29;
MERCENASCO ;986;826;8;28;
MEUGLIANO ;89;68;0;6;
MEZZENILE ;777;576;7;18;
MOMBELLO DI TORINO ;311;278;3;13;
MOMPANTERO ;546;462;3;22;
MONASTERO DI LANZO ;358;295;5;22;
MONCALIERI ;45028;38927;272;1022;
MONCENISIO ;38;35;1;1;
MONTALDO TORINESE ;531;468;4;8;
MONTALENGHE ;743;619;9;20;
MONTALTO DORA ;2841;2455;26;74;
MONTANARO ;4519;3819;49;146;
MONTEU DA PO ;737;605;4;21;
MORIONDO TORINESE ;658;594;9;20;
NICHELINO ;39034;33902;264;1115;
NOASCA ;178;132;3;7;
NOLE ;5479;4564;48;162;
NOMAGLIO ;290;233;6;16;
NONE ;6305;5396;38;152;
NOVALESA ;451;391;3;22;
OGLIANICO ;1135;964;14;28;
ORBASSANO ;17968;15756;110;452;
ORIO CANAVESE ;710;596;7;23;
OSASCO ;914;788;11;20;
OSASIO ;684;579;6;21;
OULX ;2401;2012;10;39;
OZEGNA ;1017;855;18;42;
PALAZZO CANAVESE ;677;580;4;17;
PANCALIERI ;1518;1303;18;50;
PARELLA ;398;349;0;2;
PAVAROLO ;760;643;7;17;
PAVONE CANAVESE ;3197;2760;32;107;
PECCO ;195;168;2;8;
PECETTO TORINESE ;3059;2724;21;68;
PEROSA ARGENTINA ;2990;2427;30;122;
PEROSA CANAVESE ;473;396;4;17;
PERRERO ;660;522;8;17;
PERTUSIO ;615;537;8;19;
PESSINETTO ;561;451;0;9;
PIANEZZA ;9955;8805;52;189;
PINASCA ;2466;2079;24;71;
PINEROLO ;28535;23936;190;618;
PINO TORINESE ;6892;6078;32;84;
PIOBESI TORINESE ;2874;2554;28;91;
PIOSSASCO ;13990;12174;72;287;
PISCINA ;2591;2246;29;94;
PIVERONE ;1051;911;8;30;
POIRINO ;7525;6495;68;216;
POMARETTO ;942;825;6;31;
PONT-CANAVESE ;3107;2508;45;126;
PORTE ;806;681;10;29;
PRAGELATO ;435;376;5;13;
PRALI ;254;216;3;6;
PRALORMO ;1433;1221;25;47;
PRAMOLLO ;210;166;3;9;
PRAROSTINO ;1043;862;7;27;
PRASCORSANO ;663;536;7;14;
PRATIGLIONE ;483;368;5;16;
QUAGLIUZZO ;271;230;2;16;
QUASSOLO ;305;253;4;7;
QUINCINETTO ;904;783;25;38;
REANO ;1272;1100;6;30;
RIBORDONE ;77;55;1;2;
RIVALBA ;851;741;8;27;
RIVALTA DI TORINO ;14881;13169;105;311;
RIVA PRESSO CHIERI ;3149;2737;25;76;
RIVARA ;2148;1786;24;84;
RIVAROLO CANAVESE ;9847;8097;86;269;
RIVAROSSA ;1189;1006;11;38;
RIVOLI ;41858;36322;221;844;
ROBASSOMERO ;2444;2163;16;46;
ROCCA CANAVESE ;1417;1167;16;37;
ROLETTO ;1636;1451;16;44;
ROMANO CANAVESE ;2394;2055;12;68;
RONCO CANAVESE ;307;228;5;10;
RONDISSONE ;1394;1205;14;36;
RORA' ;220;182;3;6;
ROSTA ;3182;2837;16;56;
ROURE ;805;687;18;45;
RUBIANA ;1790;1501;12;52;
RUEGLIO ;674;471;4;24;
SALASSA ;1383;1159;20;61;
SALBERTRAND ;414;339;2;6;
SALERANO CANAVESE ;439;396;3;14;
SALZA DI PINEROLO ;63;50;2;6;
SAMONE ;1267;1078;10;40;
SAN BENIGNO CANAVESE ;4314;3730;32;103;
SAN CARLO CANAVESE ;3015;2585;31;85;
SAN COLOMBANO BELMONTE ;312;271;4;4;
SAN DIDERO ;422;362;3;10;
SAN FRANCESCO AL CAMPO ;3678;3095;38;129;
SANGANO ;3151;2819;18;54;
SAN GERMANO CHISONE ;1526;1239;14;45;
SAN GILLIO ;2169;1884;10;47;
SAN GIORGIO CANAVESE ;2021;1725;23;58;
SAN GIORIO DI SUSA ;841;729;13;40;
SAN GIUSTO CANAVESE ;2643;2168;24;73;
SAN MARTINO CANAVESE ;692;594;3;19;
SAN MAURIZIO CANAVESE ;6514;5703;56;198;
SAN MAURO TORINESE ;15260;13546;70;290;
SAN PIETRO VAL LEMINA ;1252;1065;15;29;
SAN PONSO ;243;195;4;13;
SAN RAFFAELE CIMENA ;2422;2135;17;56;
SAN SEBASTIANO DA PO ;1566;1368;17;46;
SAN SECONDO DI PINEROLO ;2873;2431;20;71;
SANT'AMBROGIO DI TORINO ;3625;3122;23;107;
SANT'ANTONINO DI SUSA ;3312;2819;20;97;
SANTENA ;8264;7151;59;199;
SAUZE DI CESANA ;184;159;1;1;
SAUZE D'OULX ;904;759;6;9;
SCALENGHE ;2579;2281;34;101;
SCARMAGNO ;634;546;4;18;
SCIOLZE ;1189;1036;12;20;
SESTRIERE ;693;603;6;19;
SETTIMO ROTTARO ;440;379;6;16;
SETTIMO TORINESE ;38869;33179;203;853;
SETTIMO VITTONE ;1323;1064;19;50;
SPARONE ;917;725;13;33;
STRAMBINELLO ;222;198;2;8;
STRAMBINO ;5083;4314;31;138;
SUSA ;5378;4398;37;178;
TAVAGNASCO ;647;513;8;23;
TORINO ;712220;593949;3329;12730;
TORRAZZA PIEMONTE ;2086;1860;20;61;
TORRE CANAVESE ;525;440;3;12;
TORRE PELLICE ;3847;3110;33;100;
TRANA ;2941;2551;12;54;
TRAUSELLA ;120;88;2;5;
TRAVERSELLA ;327;236;6;9;
TRAVES ;473;402;7;13;
TROFARELLO ;8948;7943;51;221;
USSEAUX ;160;118;1;4;
USSEGLIO ;201;144;4;8;
VAIE ;1120;954;16;42;
VAL DELLA TORRE ;3063;2636;16;68;
VALLO TORINESE ;622;559;4;17;
VALGIOIE ;702;597;8;20;
VALPERGA ;2602;2173;28;80;
VALPRATO SOANA ;117;86;2;5;
VARISELLA ;652;546;7;29;
VAUDA CANAVESE ;1237;1040;14;45;
VENARIA REALE ;28719;25000;131;538;
VENAUS ;813;668;9;47;
VEROLENGO ;3951;3394;41;149;
VERRUA SAVOIA ;1234;998;16;42;
VESTIGNE' ;715;615;13;32;
VIALFRE' ;200;176;3;12;
VICO CANAVESE ;744;578;15;44;
VIDRACCO ;448;408;2;12;
VIGONE ;4294;3573;64;147;
VILLAFRANCA PIEMONTE ;3887;3266;57;118;
VILLANOVA CANAVESE ;857;725;9;40;
VILLARBASSE ;2489;2207;15;45;
VILLAR DORA ;2346;2017;16;72;
VILLAREGGIA ;867;768;14;39;
VILLAR FOCCHIARDO ;1710;1455;9;65;
VILLAR PELLICE ;1017;753;12;45;
VILLAR PEROSA ;3512;2961;23;106;
VILLASTELLONE ;3771;3349;32;97;
VINOVO ;10982;9802;87;264;
VIRLE PIEMONTE ;892;758;8;26;
VISCHE ;1176;957;16;38;
VISTRORIO ;436;384;5;15;
VIU' ;1012;735;14;46;
VOLPIANO ;11279;9456;72;258;
VOLVERA ;6469;5597;43;192;
