ALICE SUPERIORE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;20;;
ALICE SUPERIORE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;27;;
ALICE SUPERIORE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;3;;
ALICE SUPERIORE;ENRICO BOSELLI ;PARTITO SOCIALISTA;7;;
ALICE SUPERIORE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
ALICE SUPERIORE;FLAVIA D'ANGELI ;SINISTRA CRITICA;3;;
ALICE SUPERIORE;STEFANO MONTANARI ;PER IL BENE COMUNE;1;;
ALICE SUPERIORE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;6;;
ALICE SUPERIORE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
ALICE SUPERIORE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;1;;
ALMESE;WALTER VELTRONI ;PARTITO DEMOCRATICO;1109;;
ALMESE;;DI PIETRO ITALIA DEI VALORI;197;;
ALMESE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';1119;;
ALMESE;;LEGA NORD;469;;
ALMESE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;284;;
ALMESE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;217;;
ALMESE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;133;;
ALMESE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;20;;
ALMESE;ENRICO BOSELLI ;PARTITO SOCIALISTA;24;;
ALMESE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;15;;
ALMESE;FLAVIA D'ANGELI ;SINISTRA CRITICA;50;;
ALMESE;STEFANO MONTANARI ;PER IL BENE COMUNE;107;;
ALMESE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;22;;
ALMESE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;3;;
ALMESE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;12;;
