LUSIGLIE' ;449;348;5;17;
MACELLO ;984;819;15;42;
MAGLIONE ;402;315;7;14;
MARENTINO ;1109;923;12;28;
MASSELLO ;61;50;1;2;
MATHI ;3305;2618;20;101;
MATTIE ;613;416;2;28;
MAZZE' ;3361;2758;25;134;
MEANA DI SUSA ;780;566;4;29;
MERCENASCO ;998;795;8;30;
MEUGLIANO ;86;55;2;3;
MEZZENILE ;746;492;6;24;
MOMBELLO DI TORINO ;306;266;5;16;
MOMPANTERO ;555;429;9;40;
MONASTERO DI LANZO ;367;290;7;21;
MONCALIERI ;44845;36622;232;1221;
MONCENISIO ;37;34;0;0;
MONTALDO TORINESE ;523;443;3;17;
MONTALENGHE ;757;591;2;11;
MONTALTO DORA ;2846;2340;20;81;
MONTANARO ;4511;3569;56;151;
MONTEU DA PO ;731;590;6;21;
MORIONDO TORINESE ;656;553;7;28;
NICHELINO ;38725;31463;216;1227;
NOASCA ;170;123;3;7;
NOLE ;5554;4389;35;192;
NOMAGLIO ;280;206;3;11;
NONE ;6294;5136;29;180;
NOVALESA ;463;379;3;29;
OGLIANICO ;1119;910;9;35;
ORBASSANO ;18129;15448;154;631;
ORIO CANAVESE ;710;578;5;18;
OSASCO ;943;785;9;28;
OSASIO ;691;580;7;23;
OULX ;2492;2013;6;52;
OZEGNA ;1010;811;15;34;
PALAZZO CANAVESE ;676;561;5;20;
PANCALIERI ;1509;1244;19;48;
PARELLA ;400;335;2;8;
PAVAROLO ;816;667;11;26;
PAVONE CANAVESE ;3178;2584;25;91;
PECCO ;194;163;2;10;
PECETTO TORINESE ;3033;2564;11;64;
PEROSA ARGENTINA ;2939;2214;19;120;
PEROSA CANAVESE ;456;413;7;29;
PERRERO ;641;477;4;19;
PERTUSIO ;628;506;3;22;
PESSINETTO ;532;404;2;20;
PIANEZZA ;10564;8857;54;288;
PINASCA ;2526;1989;29;93;
PINEROLO ;28416;22587;169;721;
PINO TORINESE ;6855;5818;26;118;
