AGLIè ;2131;1579;13;91;
AIRASCA ;2920;2354;26;100;
ALA DI STURA ;402;261;5;11;
ALBIANO D'IVREA ;1433;1085;12;42;
ALICE SUPERIORE ;594;436;4;26;
ALMESE ;5094;4148;24;113;
ALPETTE ;241;170;2;8;
ALPIGNANO ;14087;11221;55;285;
ANDEZENO ;1536;1306;12;56;
ANDRATE ;423;281;4;13;
ANGROGNA ;716;470;8;21;
ARIGNANO ;854;717;2;22;
AVIGLIANA ;9869;8050;46;198;
AZEGLIO ;1044;811;3;38;
BAIRO ;686;514;4;23;
BALANGERO ;2610;2014;6;67;
BALDISSERO CANAVESE ;450;283;3;21;
BALDISSERO TORINESE ;2989;2462;14;59;
BALME ;93;65;0;5;
BANCHETTE ;2495;1897;6;65;
BARBANIA ;1360;1010;11;37;
BARDONECCHIA ;2524;1925;11;59;
BARONE CANAVESE ;482;366;3;14;
BEINASCO ;14677;12092;72;358;
BIBIANA ;2577;2005;23;96;
BOBBIO PELLICE ;467;340;3;16;
BOLLENGO ;1728;1379;16;77;
BORGARO TORINESE ;10921;9066;37;224;
BORGIALLO ;457;332;8;13;
BORGOFRANCO D'IVREA ;2967;2278;14;104;
BORGOMASINO ;650;479;9;22;
BORGONE SUSA ;1835;1390;13;53;
BOSCONERO ;2445;1889;23;76;
BRANDIZZO ;6720;5239;33;170;
BRICHERASIO ;3672;2887;33;118;
BROSSO ;389;267;11;32;
BROZOLO ;384;273;3;8;
BRUINO ;6710;5746;33;157;
BRUSASCO ;1350;1009;8;30;
BRUZOLO ;1243;1002;5;23;
BURIASCO ;1122;911;10;44;
BUROLO ;1049;824;6;32;
BUSANO ;1239;988;17;47;
BUSSOLENO ;5023;3865;26;116;
BUTTIGLIERA ALTA ;5219;4371;18;119;
CAFASSE ;2833;2136;13;75;
CALUSO ;6068;4685;30;171;
CAMBIANO ;5015;4196;26;144;
CAMPIGLIONE FENILE ;1113;874;6;49;
CANDIA CANAVESE ;1019;787;15;41;
CANDIOLO ;4545;3843;31;134;
CANISCHIO ;234;164;1;9;
CANTALUPA ;2044;1678;11;60;
CANTOIRA ;473;324;3;23;
CAPRIE ;1718;1395;7;42;
CARAVINO ;794;617;8;35;
CAREMA ;620;436;5;33;
CARIGNANO ;7133;5647;56;299;
CARMAGNOLA ;21555;16811;130;649;
CASALBORGONE ;1535;1164;7;50;
CASCINETTE D'IVREA ;1176;927;10;37;
CASELETTE ;2362;1971;14;55;
CASELLE TORINESE ;14641;11580;67;331;
CASTAGNETO PO ;1393;1115;2;24;
CASTAGNOLE PIEMONTE ;1696;1380;17;63;
CASTELLAMONTE ;7641;5676;58;249;
CASTELNUOVO NIGRA ;352;246;2;13;
CASTIGLIONE TORINESE ;5085;4291;20;105;
CAVAGNOLO ;1891;1482;15;49;
CAVOUR ;4444;3442;36;167;
CERCENASCO ;1450;1150;14;67;
CERES ;872;621;1;29;
CERESOLE REALE ;138;119;0;2;
CESANA TORINESE ;790;624;3;22;
CHIALAMBERTO ;306;197;8;13;
CHIANOCCO ;1385;1141;10;52;
CHIAVERANO ;1718;1362;9;49;
CHIERI ;27747;22287;142;627;
CHIESANUOVA ;161;108;1;1;
CHIOMONTE ;829;642;11;28;
CHIUSA DI SAN MICHELE ;1294;1052;9;29;
CHIVASSO ;20911;16146;136;519;
CICONIO ;285;211;3;9;
CINTANO ;205;146;0;5;
CINZANO ;291;234;4;10;
CIRIè ;15115;11552;82;403;
CLAVIERE ;145;110;1;3;
COASSOLO TORINESE ;1262;935;6;38;
COAZZE ;2535;1877;8;86;
COLLEGNO ;39986;32484;140;774;
COLLERETTO CASTELNUOVO ;232;167;1;5;
COLLERETTO GIACOSA ;475;381;3;12;
CONDOVE ;3768;2998;18;91;
CORIO ;2689;1833;21;102;
COSSANO CANAVESE ;440;328;6;25;
CUCEGLIO ;779;578;6;24;
CUMIANA ;6316;5081;30;145;
CUORGNè ;7737;5904;39;225;
DRUENTO ;6665;5502;27;151;
EXILLES ;221;180;2;7;
FAVRIA ;3982;3000;27;131;
FELETTO ;1715;1261;11;50;
FENESTRELLE ;490;372;4;18;
FIANO ;2181;1760;11;50;
FIORANO CANAVESE ;661;523;3;17;
FOGLIZZO ;1873;1440;16;65;
FORNO CANAVESE ;2769;1899;23;104;
FRASSINETTO ;225;148;2;10;
FRONT ;1367;1038;12;47;
FROSSASCO ;2339;1781;15;50;
GARZIGLIANA ;486;383;5;27;
GASSINO TORINESE ;7560;6104;43;168;
GERMAGNANO ;995;698;9;27;
GIAGLIONE ;541;456;5;13;
GIAVENO ;12897;10067;58;387;
GIVOLETTO ;2949;2456;10;62;
GRAVERE ;595;473;3;28;
GROSCAVALLO ;181;121;1;7;
GROSSO ;811;648;6;22;
GRUGLIASCO ;31178;25470;134;630;
INGRIA ;44;30;0;0;
INVERSO PINASCA ;616;442;7;19;
ISOLABELLA ;316;262;1;17;
ISSIGLIO ;358;221;4;22;
IVREA ;19043;14701;82;418;
LA CASSA ;1413;1152;2;30;
LA LOGGIA ;6929;5772;22;142;
LANZO TORINESE ;4125;3127;20;113;
LAURIANO ;1235;926;13;46;
LEINI ;12364;9951;48;279;
LEMIE ;165;101;2;9;
LESSOLO ;1603;1205;10;59;
LEVONE ;372;291;3;24;
LOCANA ;1369;983;19;66;
LOMBARDORE ;1365;1086;8;31;
LOMBRIASCO ;850;686;14;34;
LORANZè ;928;778;6;35;
LUGNACCO ;306;218;1;10;
LUSERNA SAN GIOVANNI ;5879;4296;31;195;
LUSERNETTA ;418;335;5;16;
LUSIGLIè ;458;363;4;14;
MACELLO ;1005;813;14;39;
MAGLIONE ;374;274;2;9;
MARENTINO ;1084;887;6;25;
MASSELLO ;52;44;0;4;
MATHI ;3156;2464;21;110;
MATTIE ;586;432;4;20;
